id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-audemars-piguet-code-11-59-26665ba-oo-d412cr-01-green-dial,mismatch,name;price;reference,"Audemars Piguet Code 11.59 26665BA, 18K Yellow Gold, Green Malachite Dial, 38 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26665BA.OO.D412CR.01,0,175000.0,3,3,/api/uploads/aviandco/products/audemars-piguet-code-11-59-g026665ba-001-1-56a9c2afe2b5683f.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26665ba-oo-d412cr-01-green-dial-g026665ba-001
avi-audemars-piguet-code-11-59-26665bc-oo-d632cr-01-ruby-dial-,mismatch,name;price;reference,"Audemars Piguet Code 11.59 26665BC, 18K White Gold, Ruby Root Dial, 38 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26665BC.OO.D632CR.01,0,175000.0,3,3,/api/uploads/aviandco/products/audemars-piguet-code-11-59-g026665bc-001-1-bfd2378043913fd3.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26665bc-oo-d632cr-01-ruby-dial-g026665bc-001
avi-audemars-piguet-code-11-59-26665or-oo-d349cr-01-blue-dial-,mismatch,name;price;reference,"Audemars Piguet Code 11.59 26665OR, 18K Rose Gold, Blue Sodalite Dial, 38 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26665OR.OO.D349CR.01,0,175000.0,3,3,/api/uploads/aviandco/products/audemars-piguet-code-11-59-g026665or-001-1-32176fce73cde3af.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26665or-oo-d349cr-01-blue-dial-g026665or-001
avi-audemars-piguet-code-26423bc-zz-2100bc-01-white-diamond-g0,mismatch,name;price;reference,"Audemars Piguet Royal Oak Offshore 26423BC, Chronograph, 18K White Gold, WG-diamonds dial, 43 mm",Audemars Piguet Royal Oak Offshore,Audemars Piguet,NULL,NULL,26423BC.ZZ.2100BC.01,0,253900.0,3,3,/api/uploads/aviandco/products/26423bc-zz-2100bc-01-001-37afddf9f35eac5e.jpg,https://www.aviandco.com/audemars-piguet-code-26423bc-zz-2100bc-01-white-diamond-g026423bc-zz-2100bc-01-001
avi-audemars-piguet-concept-26221ft-oo-d002ca-01-skeleton-dial,mismatch,name;price;reference,"Audemars Piguet Royal Oak Concept 26221FT, Schumacher Laptimer, Carbon, Skeleton Dial, 44 mm",Audemars Piguet Royal Oak Concept,Audemars Piguet,NULL,NULL,26221FT.OO.D002CA.01,0,149900.0,3,3,/api/uploads/aviandco/products/audemars-piguet-concept-26221ft-001-1-3e58df257c4780d9.jpg,https://www.aviandco.com/audemars-piguet-concept-26221ft-oo-d002ca-01-skeleton-dial-26221ft-001
avi-audemars-piguet-concept-26227bc-yy-d326cr-01-a-openworked-,mismatch,name;price;reference,"Audemars Piguet Royal Oak Concept 26227BC, Tourbillon, Multicoloured Diamond, 18K White Gold, Skeleton Dial, 39 mm",Audemars Piguet Royal Oak Concept,Audemars Piguet,NULL,NULL,26227BC.YY.D326CR.01-A,0,509998.98,3,3,/api/uploads/aviandco/products/ap-concept-26227bc-yy-d326cr-01-a-78c9d1bde3987dfe.jpg,https://www.aviandco.com/audemars-piguet-concept-26227bc-yy-d326cr-01-a-openworked-dial-g026227bc-yy-d326cr-01-a-001
avi-audemars-piguet-concept-26227bc-zz-d011cr-01-openworked-di,mismatch,name;price;reference,"Audemars Piguet Royal Oak Concept 26227BC, Flying Tourbillon, Diamond Bezel, 18K White Gold, Skeleton Dial, 39 mm",Audemars Piguet Royal Oak Concept,Audemars Piguet,NULL,NULL,26227BC.ZZ.D011CR.01,0,500000.0,3,3,/api/uploads/aviandco/products/ap-concept-26227bc-zz-d011cr-01-aaaa0642e915e40d.jpg,https://www.aviandco.com/audemars-piguet-concept-26227bc-zz-d011cr-01-openworked-dial-g026227bc-zz-d011cr-01-001
avi-audemars-piguet-concept-26228bc-ss-d314cr-01-openworked-di,mismatch,name,"Audemars Piguet Royal Oak Concept 26228BC, Tourbillon, Baguette Blue Sapphire, 18K White Gold, Skeleton Dial, 39 mm",This site can’t be reached,Audemars Piguet,NULL,NULL,,0,0,3,0,/api/uploads/aviandco/products/ap-concept-26228bc-ss-d314cr-01-246f5b4fd21d8cf6.jpg,https://www.aviandco.com/audemars-piguet-concept-26228bc-ss-d314cr-01-openworked-dial-g026228bc-ss-d314cr-01-001
avi-audemars-piguet-concept-26228bc-zz-d011cr-01-openworked-di,mismatch,name,"Audemars Piguet Royal Oak Concept 26228BC, Tourbillon, Diamond Baguette, 18K White Gold, Skeleton Dial, 39 mm",This site can’t be reached,Audemars Piguet,NULL,NULL,,0,0,3,0,/api/uploads/aviandco/products/ap-concept-26228bc-zz-d011cr-01-b2bf0fae176e46ef.jpg,https://www.aviandco.com/audemars-piguet-concept-26228bc-zz-d011cr-01-openworked-dial-g026228bc-zz-d011cr-01-001
avi-audemars-piguet-concept-26560io-oo-d002ca-01-a-black-openw,mismatch,name,"Audemars Piguet Concept 26589IO, Flying Tourbillon, Titanium, Black Openworked Dial, 44 mm",This site can’t be reached,Audemars Piguet,NULL,NULL,,127600,0,3,0,/api/uploads/aviandco/products/audemars-piguet-concept-apcp07022-1-1-16e81a89876ebfc7.jpg,https://www.aviandco.com/audemars-piguet-concept-26560io-oo-d002ca-01-a-black-openworked-dial-26560io-001
avi-audemars-piguet-concept-26560io-oo-d002ca-01-black-dial-ap,mismatch,name,"Audemars Piguet Royal Oak Concept 26589IO, Flying Tourbillon, Skeleton Dial, 44 mm",This site can’t be reached,Audemars Piguet,NULL,NULL,,122500,0,3,0,/api/uploads/aviandco/products/audemars-piguet-concept-apcp07022-1-4f23c5f9d5d93a42.jpg,https://www.aviandco.com/audemars-piguet-concept-26560io-oo-d002ca-01-black-dial-apcp07022
avi-audemars-piguet-concept-26589io-oo-d030ca-01-skeleton-dial,mismatch,name;reference,"Audemars Piguet Concept 26589IO, Flying Tourbillon GMT, Titanium, Skeleton Dial, 44 mm",Audemars Piguet Concept,Audemars Piguet,NULL,NULL,26589IO.OO.D030CA.01,132700,132700.0,12,3,/api/uploads/aviandco/products/26589io-3-1-1-1-31b1a93959b68d0a.jpg,https://www.aviandco.com/audemars-piguet-concept-26589io-oo-d030ca-01-skeleton-dial-26589io-004
avi-audemars-piguet-concept-26589io-oo-d056ca-01-green-dial-g0,mismatch,name;reference,"Audemars Piguet Royal Oak Concept 26589IO, Flying Tourbillon GMT, Titanium, Green Dial, 44 mm",Audemars Piguet Royal Oak Concept,Audemars Piguet,NULL,NULL,26589IO.OO.D056CA.01,189900,189900.0,3,3,/api/uploads/aviandco/products/ap-concept-26589io-oo-d056ca-01-d57386526a327426.png,https://www.aviandco.com/audemars-piguet-concept-26589io-oo-d056ca-01-green-dial-g026589io-oo-d056ca-01-001
avi-audemars-piguet-concept-26650ti-oo-do13ca-01-skeleton-dial,mismatch,name;reference,"Audemars Piguet Royal Oak Concept 26650TI, Chronograph, GMT, Skeleton Dial, 43 mm",Audemars Piguet Royal Oak Concept,Audemars Piguet,NULL,NULL,26650TI.OO.DO13CA.01,179900,179900.0,11,3,/api/uploads/aviandco/products/26650ti-oo-do13ca-01-001-1-a93fd2437cc58bc6.jpg,https://www.aviandco.com/audemars-piguet-concept-26650ti-oo-do13ca-01-skeleton-dial-26650ti-oo-do13ca-01-001
avi-audemars-piguet-jules-26000pt-oo-d28cr-01-blue-sunburst-di,mismatch,name;reference,"Audemars Piguet Jules 26000PT, ""30th Anniversary"", Limited to 90 pcs, Platinum, Blue Sunburst Dial, 41 mm",Audemars Piguet Jules,Audemars Piguet,NULL,NULL,26000PT.OO.D028CR.01,56200,56200.0,3,3,/api/uploads/aviandco/products/audemars-piguet-jules-26000pt-001-1-d74d004fb5ed1937.jpg,https://www.aviandco.com/audemars-piguet-jules-26000pt-oo-d28cr-01-blue-sunburst-dial-26000pt-001
avi-audemars-piguet-jules-77250or-oo-1270or-01-silver-dial-772,mismatch,name;price;reference,"Audemars Piguet Jules 77250OR, 18K Rose Gold, Silver Dial, 33 mm",Audemars Piguet Jules,Audemars Piguet,NULL,NULL,77250OR.OO.1270OR.01,0,18099.0,3,3,/api/uploads/aviandco/products/ap-jules-audemars-772500r-silver-1-4fb7b1f0a2b0c085.jpg,https://www.aviandco.com/audemars-piguet-jules-77250or-oo-1270or-01-silver-dial-77250or-oo-1270or-01-001
avi-audemars-piguet-millenary-77266or-gg-a823cr-01-brown-dial-,mismatch,name;reference,"Audemars Piguet Millenary 77266OR, 18K Rose Gold, Brown Dial, 40 mm",Audemars Piguet Millenary,Audemars Piguet,NULL,NULL,77266OR.GG.A823CR-01,22500,22500.0,3,3,/api/uploads/aviandco/products/audemars-piguet-millenary-77266or-001-1-ba4606ddbfef90c5.jpg,https://www.aviandco.com/audemars-piguet-millenary-77266or-gg-a823cr-01-brown-dial-77266or-001
avi-audemars-piguet-millenary-maserati-dual-time-26150pt-oo-d0,mismatch,name;price;reference,"Audemars Piguet Millenary 26150PT, Platinum, ""Maserati"", Silver Dial, 47 mm",Audemars Piguet Millenary,Audemars Piguet,NULL,NULL,26150PT.OO.D028CR.01,0,44900.0,3,3,/api/uploads/aviandco/products/audemars-piguet-millinary-maserati-26150pt-001-1-3b6381c7eb9a5fb0.jpg,https://www.aviandco.com/audemars-piguet-millenary-maserati-dual-time-26150pt-oo-d028cr-01-silver-dial-26150pt-001
avi-audemars-piguet-offshore-15710st-oo-a002ca-02-silver-dial-,mismatch,name;reference,"Audemars Piguet Royal Oak Offshore 15710ST, Diver, Steel, Silver Index Dial, 42 mm",Audemars Piguet Royal Oak Offshore,Audemars Piguet,NULL,NULL,15710ST.OO.A002CA.02,22900,22900.0,3,3,/api/uploads/aviandco/products/15710st-oo-a002ca-02-001-1-f38a0e151f89378c.jpg,https://www.aviandco.com/audemars-piguet-offshore-15710st-oo-a002ca-02-silver-dial-15710st-oo-a002ca-02-001
avi-audemars-piguet-offshore-15710st-oo-a010ca-01-white-dial-1,mismatch,name;reference,"Audemars Piguet Royal Oak Offshore 15710ST, ""Diver"", Steel, White Dial, 42 mm",Audemars Piguet Royal Oak Offshore,Audemars Piguet,NULL,NULL,15710ST.OO.A010CA.01,22900,22900.0,3,3,/api/uploads/aviandco/products/audemars-piguet-royal-oak-offshore-15710st-002-1-9f1dc534eb7b5ac6.jpg,https://www.aviandco.com/audemars-piguet-offshore-15710st-oo-a010ca-01-white-dial-15710st-002
